State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.41897	4.31773	4.14057	4.06970	3.89760	3.80649	3.56858	3.49266	3.29525	3.28512	3.22438	3.20920	3.30031	3.29525	3.34586	3.41167	3.29018	3.33068	3.25981	3.21426	3.26994
2	2.64154	2.54996	2.43726	2.31751	2.31046	2.07097	2.33864	2.33160	2.38795	2.40908	2.43726	2.21185	2.24002	2.41613	2.52883	2.46544	2.38091	2.43726	2.35273	2.36682	2.26116
3	1.38267	1.31191	1.32279	1.29013	1.32279	1.40445	1.45888	1.54598	1.61675	1.57320	1.57864	1.55687	1.50243	1.59497	1.75828	1.76373	1.80727	1.79639	1.74740	1.77461	1.74195
4	1.18102	1.19244	1.17721	1.17340	1.20006	1.23245	1.28197	1.30483	1.23626	1.25721	1.26102	1.36007	1.43246	1.49341	1.45532	1.46484	1.46103	1.51246	1.55818	1.54103	1.56389
5	3.20590	3.18020	3.13523	3.05813	3.09668	3.17378	3.10311	3.08383	3.04529	2.95534	2.83970	2.76903	2.52489	2.43494	2.33215	2.27433	2.39640	2.38355	2.35142	2.44137	2.31930
6	0.80652	0.77454	0.76388	0.74730	0.72717	0.70348	0.69993	0.67150	0.66558	0.62887	0.60163	0.58860	0.60400	0.58979	0.58623	0.56018	0.57439	0.55544	0.57202	0.56373	0.59689
7	3.51524	3.52578	3.52683	3.52104	3.49890	3.47467	3.43040	3.37929	3.31974	3.23280	3.12319	2.99040	2.86868	2.74538	2.61996	2.51405	2.40444	2.32540	2.24373	2.17997	2.12832
8	0.75746	0.75953	0.76310	0.76586	0.76921	0.77133	0.77336	0.77676	0.78439	0.79347	0.80764	0.81795	0.82665	0.83517	0.84421	0.85477	0.86360	0.86932	0.87573	0.88129	0.88455
9	0.69550	0.71186	0.63413	0.68731	0.65458	0.78141	0.87960	0.96551	0.98188	0.92051	0.59731	0.69959	0.68731	0.67504	0.70368	0.63822	0.65049	0.64640	0.66277	0.63413	0.69550
10	0.71865	0.71626	0.72343	0.72104	0.71746	0.70909	0.70789	0.72104	0.71387	0.72224	0.72104	0.71267	0.71746	0.70430	0.70550	0.69235	0.68756	0.67919	0.68158	0.68278	0.67680
