State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	5.33843	6.41505	7.88479	10.31054	14.73317	20.75957	28.33165	37.67726	46.04899	46.59400	47.22389	57.84714	57.59697	54.55474	47.32217	35.50168	24.04751	16.06890	10.87789	7.65696	5.51712
2	5.12261	6.31001	8.03828	10.96015	14.20530	17.99131	21.16186	22.31196	21.15565	25.08464	26.51450	12.80032	11.81185	12.84383	15.57299	17.58101	16.33765	13.71418	10.63067	8.23721	6.37218
3	2.63272	2.75283	2.84411	3.06030	3.24767	3.39660	3.62720	3.85781	3.49268	2.59910	2.18113	1.97454	1.64305	1.37882	1.33558	1.47490	1.52294	1.69590	1.56618	1.57579	1.55177
4	2.24936	2.45109	2.53347	2.55028	2.51162	2.34686	2.14513	1.64415	1.26758	1.19361	1.15998	1.09778	1.05911	1.08601	1.07761	1.15494	1.36676	1.44578	1.65256	1.65087	1.60044
5	9.67314	10.03036	10.26283	9.77520	8.15356	5.63038	3.58348	2.32473	1.79741	1.66133	1.67834	1.78607	1.94483	2.88040	7.14429	16.45455	26.51325	31.88848	33.75960	33.11889	30.79416
6	1.29397	1.12465	0.93233	0.77137	0.61354	0.53933	0.50588	0.48602	0.46198	0.45467	0.45049	0.44526	0.45989	0.48707	0.50588	0.53306	0.72224	1.19572	1.81762	2.46461	3.10010
7	0.58178	0.54876	0.51202	0.48319	0.45994	0.43529	0.41018	0.39390	0.38785	0.39157	0.38925	0.39902	0.41204	0.41529	0.42180	0.44041	0.46691	0.51342	0.57109	0.63805	0.74269
8	0.88377	0.86955	0.85172	0.82353	0.78568	0.73757	0.67486	0.61016	0.56358	0.54370	0.53199	0.52689	0.53693	0.55164	0.56710	0.58863	0.60952	0.63262	0.65146	0.66729	0.68145
9	0.89544	0.77629	0.86655	0.85933	0.78712	0.69324	0.66797	0.59937	0.56326	0.67519	0.85572	0.86294	0.75101	0.59937	0.59215	0.49105	0.62103	0.64630	0.62825	0.71130	0.80517
10	0.47700	0.48334	0.48122	0.46962	0.45906	0.44745	0.44323	0.43901	0.43374	0.43268	0.43796	0.44534	0.44534	0.45062	0.44957	0.44218	0.46539	0.46539	0.48122	0.49072	0.47700
