State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.69078	54.56019	8.13924	1.64193	3.22472	47.22088	24.30084	0.19375
2	0.49639	22.00970	3.44911	1.12208	2.43751	26.51531	13.77865	0.54780
3	0.64234	0.52145	1.20099	1.09094	1.57881	2.18119	2.36629	0.34607
4	1.83563	0.36925	0.99682	1.09424	1.26115	1.16002	1.72977	0.49780
5	0.54425	0.63699	2.53902	2.16315	2.83999	1.67839	10.02901	0.18748
6	2.95246	0.23839	0.83658	2.24178	0.60169	0.45050	0.88526	0.21938
7	6.63568	0.49338	3.96625	2.22503	3.12299	0.38926	0.52085	0.30096
8	82.42361	0.53619	0.69667	0.85299	0.80764	0.53200	0.70598	1.10104
9	0.85468	0.39207	0.88886	0.95722	0.59737	0.85575	0.75788	1.06337
10	2.92419	0.51928	0.58528	0.65463	0.72112	0.43797	0.44898	1.38527
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
