State (Emission order)	H3K9me3	H4K20me1	H3K79me2	H3K36me3	H3K4me1	H3K4me2	H3K4me3	H3K9ac	H3K27ac	H2AFZ
1	0.0014603205181289848	0.04005843226390281	0.34415722108403063	0.002287335691744086	0.1658892516954021	0.8403902272322696	0.9815519398406861	0.9759334289029635	0.8979753136518902	0.4802264584698874
2	0.00574867012675177	0.024664163376578847	0.03521916015756533	0.0024827641624805474	0.2405036761068365	0.7320476748994496	0.35457685131095107	0.08966542120734106	0.06409072293801522	0.21991019816195248
3	0.008021244668580976	0.04754027194066247	0.06478470676461315	0.017755542099743588	0.8960613890975886	0.8131949471415996	0.27496848751794495	0.3551638424055605	0.8708567713474721	0.3606467313719836
4	0.0071939270686907555	0.0474190046480166	0.02918309187628446	0.01643926012796746	0.587721349830359	0.1430776776578492	0.0032290585351439443	0.011788370838691558	0.08851230955234737	0.06710567102407408
5	0.030660314296580886	0.2455401813962466	0.9022114762542549	0.2597319568780413	0.5771891923020087	0.8584976434001835	0.446197871925027	0.18637247975122803	0.16721820538037785	0.035243392464264764
6	0.00989201888589817	0.13286830462904795	0.5924133839787447	0.1579079302737618	0.05530004218067953	0.01568084479339034	0.0013186362876417997	0.006304170209758596	0.0036656315820359875	0.0017349888586119797
7	0.0059792776149964364	0.06104396822505325	0.04899765999183402	0.28438158173499345	0.003421893489509908	8.489726769198121E-4	6.265733151581379E-4	0.004577491221437233	0.0010970307062528634	0.0015201597387840948
8	0.002888191804001356	0.02717932544465074	0.0039808702268157685	0.0011806972241023572	7.333223016616529E-4	3.087136749246971E-4	1.3204002781628613E-4	0.0013390791140775557	6.450161536381788E-5	0.002841860954685508
9	0.10316992008802146	0.20234262329533817	0.07383712897962355	0.023248827273844593	0.020271366293400737	0.011464316963472372	0.008320640789424278	0.024158461431112464	0.003192294538881058	0.11604546530905979
10	0.10106851228170902	0.03838376009732797	0.006497986954723549	0.007531048180813048	6.804990672519507E-4	0.0020370067172393357	0.0019859240858777945	0.0025825505738980236	2.1850472011800706E-4	0.028778084667196856
