State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.8248290928620522	0.11120041996325747	0.015363141807040912	0.0	0.04286640251536548	0.0	8.172461387704678E-5	0.005659218238406849	0.0	0.0
2	0.14403689930103183	0.5983512933090575	0.007063003726244834	0.03810026043803193	0.017112449999422043	0.0026521213267916752	0.00242009734328906	0.17441050694387267	0.012484567523046514	0.003368800089211897
3	0.016835052427260168	0.005777569704599659	0.7659030767410089	0.20382585035397816	0.004020887571180222	6.572921483312459E-4	4.759885453394929E-4	0.0023535045567460206	0.0	1.507779515561494E-4
4	0.0	0.009776847509253325	0.06653192984087476	0.7483815848543802	0.0018493339205936032	0.0039047394174078287	0.008974332788844614	0.15567768449970576	0.004211440905130633	6.921062638092407E-4
5	0.050747255597192495	0.016964157920826596	0.004542559930192592	0.006350760716337093	0.7911850825058385	0.11822762855048422	0.004541908587749273	0.0	0.0	0.00744064619137923
6	0.0	4.8612160741526414E-4	9.195799379010725E-5	0.002750877329938159	0.02151059684085619	0.9490249045764795	0.021735600234945626	0.0043999414165751755	0.0	0.0
7	0.0	1.1482987713292503E-4	4.986910486447471E-5	0.0026821176908786467	3.621784662676563E-4	0.009452180864338343	0.9764660975182161	0.010793413298355108	1.4578120017192534E-5	6.473505992954803E-5
8	4.710327959747862E-5	0.001180235324254463	1.9188336990682206E-5	0.00391874961923951	6.72059941108678E-6	1.6120059052677943E-4	8.747822756790094E-4	0.9779721178824795	0.015122165786594411	6.977363052270877E-4
9	0.0	0.002993541991707575	0.0	0.003625272641256857	0.0	0.0	3.4165864190297464E-5	0.4691707486598366	0.5119660164215598	0.012210254421448904
10	0.0	3.9806692863494323E-4	3.311693514839235E-5	4.391863962542606E-4	0.0010921382250539333	8.79445061292853E-7	1.639141497321353E-4	0.015200640853355166	0.0091570633271816	0.9735149937395783
